34 42
0 14 503.182722
0 28 952.868389
0 31 906.500990
1 7 248.715664
1 15 345.887266
1 16 316.337492
2 9 373.359605
2 15 571.614612
3 10 266.360303
3 19 663.710617
3 26 569.989480
3 29 494.955853
4 13 369.947315
4 22 425.706676
4 24 1084.547246
5 13 537.830885
5 19 896.224421
5 28 595.827452
6 19 730.714957
6 24 361.786279
7 1 248.715664
7 10 171.329808
8 32 193.071956
9 2 373.359605
9 21 199.279822
9 33 42.920532
10 3 266.360303
10 7 171.329808
11 29 185.032460
11 33 264.474410
12 17 913.845498
12 24 409.365708
13 4 369.947315
13 5 537.830885
14 0 503.182722
14 22 707.048114
14 28 932.647590
15 1 345.887266
15 2 571.614612
15 17 459.015085
16 1 316.337492
16 30 317.180629
17 12 913.845498
17 15 459.015085
17 18 530.228265
18 17 530.228265
19 3 663.710617
19 5 896.224421
19 6 730.714957
20 26 1612.095765
20 32 633.897998
21 9 199.279822
21 27 129.481423
22 4 425.706676
22 14 707.048114
23 25 642.288908
23 29 277.847748
24 4 1084.547246
24 6 361.786279
24 12 409.365708
24 30 569.099816
25 23 642.288908
25 27 306.050354
26 3 569.989480
26 20 1612.095765
27 21 129.481423
27 25 306.050354
28 0 952.868389
28 5 595.827452
28 14 932.647590
28 32 1125.940184
29 3 494.955853
29 11 185.032460
29 23 277.847748
30 16 317.180629
30 24 569.099816
31 0 906.500990
31 32 234.043868
32 8 193.071956
32 20 633.897998
32 28 1125.940184
32 31 234.043868
33 9 42.920532
33 11 264.474410
