19 20
11 12 559.122900954
11 15 964.478353219
10 18 418.505211942
10 2 383.631563949
13 12 179.646267685
12 11 559.122900954
12 13 179.646267685
12 14 574.260935613
15 11 964.478353219
15 16 596.863170943
14 8 1422.54740366
14 12 574.260935613
17 18 387.240749117
17 16 891.804868094
16 15 596.863170943
16 17 891.804868094
18 9 235.879658159
18 10 418.505211942
18 17 387.240749117
18 8 881.740584299
1 0 129.649074997
1 6 199.218385992
0 1 129.649074997
0 3 506.697678735
3 0 506.697678735
3 2 330.026397578
2 10 383.631563949
2 3 330.026397578
5 8 293.493261863
5 4 235.878097759
4 5 235.878097759
4 7 1127.55848143
7 4 1127.55848143
7 6 871.926467359
6 1 199.218385992
6 7 871.926467359
9 18 235.879658159
8 18 881.740584299
8 5 293.493261863
8 14 1422.54740366
